server;memory;storage;location;price
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€106,999
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€78,199
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€89,999
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€8,099
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€22,499
HP DL120G91x Intel E5-1620v3;32GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€14,399
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€25,299
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€34,799
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€14,699
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€25,799
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€19,299
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€36,999
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€22,699
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€32,199
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€25,999
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€87,999
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€104,999
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€76,199
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€4,099
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€6,399
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€9,099
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€6,099
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€35,599
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€19,099
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€16,099
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;AmsterdamAMS-01;€19,799
HP DL380pG82x Intel Xeon E5-2650;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€38,699
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€48,199
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€28,099
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;4x2TBSATA2;AmsterdamAMS-01;€39,199
HP DL380pG82x Intel Xeon E5-2620;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€32,699
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;AmsterdamAMS-01;€50,399
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;AmsterdamAMS-01;€36,099
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;AmsterdamAMS-01;€45,599
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€39,399
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€101,399
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€118,399
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;AmsterdamAMS-01;€89,599
Dell R210-IIIntel G530;4GBDDR3;2x500GBSATA2;AmsterdamAMS-01;€17,499
Dell R210-IIIntel Xeon E3-1220;16GBDDR3;2x1TBSATA2;AmsterdamAMS-01;€22,499
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€19,499
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;AmsterdamAMS-01;€48,999
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€30,499
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;AmsterdamAMS-01;€29,499
Dell R720XD2x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€190,799
Dell R720XD2x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€197,399
HP DL380pG82x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€190,799
HP DL380pG82x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;AmsterdamAMS-01;€196,799
HP DL120G7Intel G850;4GBDDR3;4x500GBSATA2;AmsterdamAMS-01;€177,599
HP DL120G7Intel Xeon E3-1230;8GBDDR3;4x500GBSATA2;AmsterdamAMS-01;€180,799
HP DL120G7Intel Xeon E3-1240;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$105.99
Dell R210Intel Xeon X3430;8GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$55.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$121.99
Dell R730XD2x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;SingaporeSIN-11;S$565.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$431.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$380.99
Dell R730XD2x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$360.99
HP DL180 G92x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$413.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$305.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$303.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$362.99
Dell R730XD2x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$360.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;San FranciscoSFO-12;$380.99
HP DL180 G92x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$413.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$411.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;San FranciscoSFO-12;$431.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$319.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$319.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;DallasDAL-10;$170.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;DallasDAL-10;$165.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;DallasDAL-10;$199.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;DallasDAL-10;$206.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$220.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$225.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;DallasDAL-10;$297.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;Washington D.C.WDC-01;$170.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$199.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$220.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$228.00
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;DallasDAL-10;$421.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;San FranciscoSFO-12;$135.99
Huawei RH1288v22x Intel Xeon E5-2650;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$269.99
Dell R730XD2x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;SingaporeSIN-11;S$421.99
Huawei RH2288V22x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$239.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€39,599
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€25,299
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€34,299
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€36,499
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$437.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$303.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$411.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€9,900
IBM X36302x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€9,900
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;6x1TBSATA2;FrankfurtFRA-10;€12,499
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$225.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€18,799
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x300GBSAS;FrankfurtFRA-10;€17,699
HP DL380eG82x Intel Xeon E5-2420;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$183.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$228.00
HP DL180G62x Intel Xeon E5620;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$175.99
Dell R720XD2x Intel Xeon E5-2640v2;64GBDDR3;8x1TBSATA2;FrankfurtFRA-10;€24,900
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€31,699
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;DallasDAL-10;$380.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x960GBSSD;FrankfurtFRA-10;€36,299
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x960GBSSD;FrankfurtFRA-10;€47,199
HP DL180G62x Intel Xeon E5645;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$187.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$225.99
Dell R730XD2x Intel Xeon E5-2650V3;128GBDDR4;2x120GBSSD;SingaporeSIN-11;S$545.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$303.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$411.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€25,499
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$305.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$305.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$382.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$437.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$362.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€31,899
Dell R6302x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;SingaporeSIN-11;S$555.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$105.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$105.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x500GBSATA2;DallasDAL-10;$110.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;DallasDAL-10;$105.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;DallasDAL-10;$121.99
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$49.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$110.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;2x120GBSSD;San FranciscoSFO-12;$263.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$263.99
HP DL120G9Intel Xeon E5-1650v3;64GBDDR4;2x120GBSSD;Hong KongHKG-10;S$368.99
HP DL120G9Intel Xeon E5-1650v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$368.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1328.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1516.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€104,499
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1787.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€75,699
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€87,499
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$135.99
HP DL120G91x Intel E5-1620v3;16GBDDR4;4x1TBSATA2;Washington D.C.WDC-01;$176.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;4x2TBSATA2;FrankfurtFRA-10;€20,499
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$43.99
HP DL20 G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;SingaporeSIN-11;S$208.00
HP DL20 G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Hong KongHKG-10;S$208.00
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$139.00
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;Washington D.C.WDC-01;$421.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;FrankfurtFRA-10;€35,099
HP DL120G7Intel Xeon E3-1270;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€8,799
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$103.99
Supermicro SC8131x Intel E5-1650v2;64GBDDR3;2x120GBSSD;Washington D.C.WDC-01;$233.99
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;FrankfurtFRA-10;€21,999
HP DL120G91x Intel E5-1650v3;64GBDDR4;4x2TBSATA2;Washington D.C.WDC-01;$275.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$135.99
HP DL120G7Intel Xeon E3-1240;16GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$105.99
HP DL120G91x Intel E5-1650v3;32GBDDR4;4x1TBSATA2;San FranciscoSFO-12;$239.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$69.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;San FranciscoSFO-12;$135.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;San FranciscoSFO-12;$437.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x240GBSSD;Washington D.C.WDC-01;$69.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;4x480GBSSD;Washington D.C.WDC-01;$399.99
HP DL380eG82x Intel Xeon E5-2420;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€14,299
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;FrankfurtFRA-10;€22,199
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€18,799
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€16,599
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;FrankfurtFRA-10;€16,599
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€24,799
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$225.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$225.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$297.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$297.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;San FranciscoSFO-12;$200.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;San FranciscoSFO-12;$200.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$220.99
Dell R5102x Intel Xeon E5504;4GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$104.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$165.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;SingaporeSIN-11;S$119.99
Dell R6302x Intel Xeon E5-2630v4;64GBDDR4;2x240GBSSD;SingaporeSIN-11;S$489.99
Dell R6302x Intel Xeon E5-2630v4;64GBDDR4;2x240GBSSD;Hong KongHKG-10;S$489.99
Dell R730XD2x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;Hong KongHKG-10;S$421.99
RH2288v32x Intel Xeon E5-2620V4;64GBDDR4;4x2TBSATA2;SingaporeSIN-11;S$319.99
RH2288v32x Intel Xeon E5-2650V4;128GBDDR4;4x480GBSSD;SingaporeSIN-11;S$429.99
Dell R210-IIIntel Xeon E3-1270v2;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$199.99
HP DL120G7Intel G850;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€4,999
Dell R6202x Intel Xeon E5-2620v2;8GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$319.99
Dell R210-IIIntel Xeon E3-1270v2;8GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$199.99
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€7,400
HP DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;FrankfurtFRA-10;€11,299
HP DL120G7Intel Xeon E3-1230;16GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€7,500
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€14,299
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$235.59
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$350.59
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$355.59
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$427.59
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€29,599
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€35,599
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€10,399
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$151.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$135.99
